Anyo,codigo_distrito,codigo_barrio,renta
2016,15,151,28824.0
2016,15,152,30458.0
2016,15,153,30692.0
2016,15,154,34609.0
2016,15,155,43945.0
2016,15,156,57429.0
2016,15,157,53789.0
2016,15,158,71758.0
2016,15,159,66648.0
2016,16,161,81681.0
2016,16,162,81271.0
2016,16,163,40747.0
2016,16,164,33780.0
2016,16,165,37313.0
2016,16,166,53810.0
2016,17,171,25131.0
2016,17,172,19859.0
2016,17,173,30469.0
2016,17,174,28679.0
2016,17,175,28413.0
2016,18,181,24526.0
2016,18,182,36865.0
2016,19,191,24578.0
2016,19,192,39389.0
2016,20,201,31855.0
2016,20,202,24039.0
2016,20,203,21962.0
2016,20,204,28801.0
2016,20,205,44106.0
2016,20,206,38875.0
2016,20,207,31510.0
2016,20,208,54991.0
2016,21,211,53554.0
2016,21,212,25366.0
2016,21,213,29179.0
2016,21,214,41636.0
2016,21,215,67321.0
2017,1,11,36357.0
2017,1,12,27655.0
2017,1,13,37725.0
2017,1,14,43045.0
2017,1,15,33209.0
2017,1,16,32599.0
2017,2,21,44101.0
2017,2,22,46102.0
2017,2,23,33284.0
2017,2,24,51613.0
2017,2,25,41535.0
2017,2,26,35874.0
2017,2,27,38971.0
2017,3,31,43434.0
2017,3,32,45918.0
2017,3,33,60386.0
2017,3,34,48231.0
2017,3,35,70467.0
2017,3,36,67780.0
2017,4,41,80387.0
2017,4,42,51783.0
2017,4,43,42630.0
2017,4,44,47779.0
2017,4,45,51492.0
2017,4,46,72399.0
2017,5,51,80447.0
2017,5,52,45620.0
2017,5,53,45521.0
2017,5,54,66079.0
2017,5,55,74482.0
2017,5,56,58137.0
2017,6,61,32298.0
2017,6,62,44644.0
2017,6,63,46951.0
2017,6,64,30883.0
2017,6,65,28996.0
2017,6,66,30201.0
2017,7,71,45112.0
2017,7,72,44265.0
2017,7,73,43792.0
2017,7,74,69696.0
2017,7,75,50373.0
2017,7,76,60074.0
2017,8,81,36745.0
2017,8,82,84239.0
2017,8,83,46883.0
2017,8,84,34532.0
2017,8,85,59580.0
2017,8,86,44503.0
2017,8,87,69838.0
2017,8,88,61919.0
2017,9,91,42796.0
2017,9,92,54446.0
2017,9,93,60565.0
2017,9,94,35983.0
2017,9,95,88243.0
2017,9,96,89215.0
2017,9,97,69380.0
2017,10,101,30190.0
2017,10,102,28661.0
2017,10,103,30910.0
2017,10,104,31591.0
2017,10,105,32304.0
2017,10,106,36806.0
2017,10,107,30653.0
2017,11,111,28516.0
2017,11,112,28721.0
2017,11,113,27032.0
2017,11,114,28333.0
2017,11,115,26363.0
2017,11,116,32278.0
2017,11,117,28797.0
2017,12,121,28256.0
2017,12,122,25933.0
