Anyo,cluster_k6,incidentes_por_distrito,tasa_extranjeros,parados,autonomos,tamanyo_hogar,precio_alquiler_m2,precio_venta_m2,renta
2020,5,638.0,11.440000000000001,31789.5,2402.0,2.86,12.7,3604.4166666666665,
2021,0,905.8928571428571,19.7756,33928.607142857145,1507.142857142857,2.6210714285714287,11.696428571428571,2283.6994047619046,
2021,1,570.3695652173913,13.059189189189189,9732.41304347826,773.0869565217391,2.7330434782608695,12.662137681159422,3310.663043478261,
2021,2,510.61764705882354,12.500333333333334,13457.970588235294,1728.1764705882354,2.356470588235294,15.085784313725489,4656.421568627451,
2021,3,2724.0,26.236,18361.166666666668,2695.3333333333335,2.025,16.641666666666666,4820.25,
2021,4,443.25,16.079,21758.416666666668,801.0,2.7075,10.706944444444444,2185.9791666666665,
2021,5,511.0,11.535,33313.5,2367.5,2.8600000000000003,12.3,3648.625,
2022,0,,19.5044,26316.60714285714,,,12.352857142857143,2401.6178571428572,
2022,1,,12.995675675675676,10995.54347826087,,,13.420217391304348,3464.1021739130438,
2022,2,,12.606666666666666,11569.382352941177,,,16.26823529411765,4953.305882352941,
2022,3,,27.315999999999995,136421.66666666666,,,18.62,5108.2,
2022,4,,16.012,18852.916666666668,,,11.281666666666666,2258.675,
2022,5,,11.545,18076.0,,,12.780000000000001,3834.6000000000004,
