Anyo,codigo_barrio,nombre_barrio,area_barrio_m2,codigo_distrito,nombre_distrito,total_viviendas,tasa_extranjeros,parados,poblacion,renta,tamanyo_hogar,incidentes_por_distrito,autonomos,precio_venta_m2,precio_alquiler_m2
2019,21.0,IMPERIAL,967678.602,2,Arganzuela,9633.0,7.05,11107.0,22766.0,,2.36,767.0,1091.0,4059.1666666666665,15.633333333333333
2020,21.0,IMPERIAL,967678.602,2,Arganzuela,9689.0,7.69,13317.0,22908.0,,2.36,405.0,1152.0,3918.1666666666665,15.591666666666669
2021,21.0,IMPERIAL,967678.602,2,Arganzuela,9628.0,7.92,13394.0,22596.0,,2.35,300.0,938.0,4002.5,14.366666666666667
2022,21.0,IMPERIAL,967678.602,2,Arganzuela,,8.01,6041.0,22456.0,,,,,4196.1,15.330000000000002
2005,21.0,IMPERIAL,967678.602,2,Arganzuela,,8.73,,22794.0,,,,,,
2006,21.0,IMPERIAL,967678.602,2,Arganzuela,,9.38,,22942.0,,,,,,
2007,21.0,IMPERIAL,967678.602,2,Arganzuela,,8.92,,23171.0,,,,,4000.0,
2008,21.0,IMPERIAL,967678.602,2,Arganzuela,,9.39,,23232.0,,,,,3816.5833333333335,
2009,21.0,IMPERIAL,967678.602,2,Arganzuela,,9.62,,23228.0,,,,,3636.6666666666665,12.15
2010,22.0,ACACIAS,1073437.937,2,Arganzuela,,10.37,,38071.0,,,,1334.0,3536.6666666666665,12.108333333333334
2011,22.0,ACACIAS,1073437.937,2,Arganzuela,,10.03,,37913.0,,,,1393.0,3406.583333333333,12.008333333333333
2012,22.0,ACACIAS,1073437.937,2,Arganzuela,,8.66,2310.0,37456.0,,,,1183.0,3085.5,11.591666666666669
2013,22.0,ACACIAS,1073437.937,2,Arganzuela,,8.24,28167.0,37387.0,42748.8007011447,,,1242.0,2777.583333333333,11.175
2014,22.0,ACACIAS,1073437.937,2,Arganzuela,,7.38,26628.0,36922.0,43511.8247447965,,1787.0,1380.0,2684.333333333333,11.058333333333332
2015,22.0,ACACIAS,1073437.937,2,Arganzuela,,6.59,24006.0,36547.0,44669.1824389435,,2186.0,1429.0,2709.75,11.575
2016,22.0,ACACIAS,1073437.937,2,Arganzuela,,6.48,22183.0,36610.0,45516.0,,2572.0,1511.0,2835.0,12.3
2017,22.0,ACACIAS,1073437.937,2,Arganzuela,,6.42,20289.0,36665.0,46102.0,,1980.0,1620.0,3186.0,13.666666666666666
2018,22.0,ACACIAS,1073437.937,2,Arganzuela,,6.54,18450.0,36751.0,47683.0,,251.0,1387.0,3844.8333333333335,14.666666666666666
2019,22.0,ACACIAS,1073437.937,2,Arganzuela,15442.0,7.01,17656.0,36785.0,,2.38,767.0,1862.0,4059.1666666666665,15.633333333333333
2020,22.0,ACACIAS,1073437.937,2,Arganzuela,15565.0,7.45,21191.0,36922.0,,2.37,405.0,1890.0,3918.1666666666665,15.591666666666669
2021,22.0,ACACIAS,1073437.937,2,Arganzuela,15474.0,7.87,20231.0,36395.0,,2.35,300.0,1818.0,4002.5,14.366666666666667
2022,22.0,ACACIAS,1073437.937,2,Arganzuela,,7.74,35221.0,36038.0,,,,,4196.1,15.330000000000002
2005,22.0,ACACIAS,1073437.937,2,Arganzuela,,10.13,,37495.0,,,,,,
2006,22.0,ACACIAS,1073437.937,2,Arganzuela,,10.88,,37727.0,,,,,,
2007,22.0,ACACIAS,1073437.937,2,Arganzuela,,10.46,,37879.0,,,,,4000.0,
2008,22.0,ACACIAS,1073437.937,2,Arganzuela,,10.45,,37951.0,,,,,3816.5833333333335,
2009,22.0,ACACIAS,1073437.937,2,Arganzuela,,10.72,,38203.0,,,,,3636.6666666666665,12.15
2010,23.0,CHOPERA,567786.5291,2,Arganzuela,,22.52,,21591.0,,,,750.0,3536.6666666666665,12.108333333333334
2011,23.0,CHOPERA,567786.5291,2,Arganzuela,,21.61,,21238.0,,,,726.0,3406.583333333333,12.008333333333333
2012,23.0,CHOPERA,567786.5291,2,Arganzuela,,19.32,1690.0,20709.0,,,,636.0,3085.5,11.591666666666669
2013,23.0,CHOPERA,567786.5291,2,Arganzuela,,18.19,20326.0,20687.0,30279.7215800192,,,691.0,2777.583333333333,11.175
2014,23.0,CHOPERA,567786.5291,2,Arganzuela,,15.78,18624.0,20186.0,30204.5800467122,,1787.0,790.0,2684.333333333333,11.058333333333332
2015,23.0,CHOPERA,567786.5291,2,Arganzuela,,13.98,17061.0,19854.0,31933.91199662,,2186.0,821.0,2709.75,11.575
2016,23.0,CHOPERA,567786.5291,2,Arganzuela,,13.27,15402.0,19919.0,32349.0,,2572.0,816.0,2835.0,12.3
2017,23.0,CHOPERA,567786.5291,2,Arganzuela,,13.0,13453.0,19764.0,33284.0,,1980.0,879.0,3186.0,13.666666666666666
2018,23.0,CHOPERA,567786.5291,2,Arganzuela,,12.98,11879.0,19799.0,35015.0,,251.0,649.0,3844.8333333333335,14.666666666666666
2019,23.0,CHOPERA,567786.5291,2,Arganzuela,8585.0,13.33,11249.0,19993.0,,2.33,767.0,947.0,4059.1666666666665,15.633333333333333
2020,23.0,CHOPERA,567786.5291,2,Arganzuela,8653.0,14.22,14242.0,20287.0,,2.34,405.0,982.0,3918.1666666666665,15.591666666666669
2021,23.0,CHOPERA,567786.5291,2,Arganzuela,8626.0,14.25,14296.0,20077.0,,2.33,300.0,950.0,4002.5,14.366666666666667
2022,23.0,CHOPERA,567786.5291,2,Arganzuela,,13.83,6267.0,19734.0,,,,,4196.1,15.330000000000002
2005,23.0,CHOPERA,567786.5291,2,Arganzuela,,21.31,,22257.0,,,,,,
2006,23.0,CHOPERA,567786.5291,2,Arganzuela,,22.6,,22200.0,,,,,,
2007,23.0,CHOPERA,567786.5291,2,Arganzuela,,21.57,,21927.0,,,,,4000.0,
2008,23.0,CHOPERA,567786.5291,2,Arganzuela,,22.48,,22054.0,,,,,3816.5833333333335,
2009,23.0,CHOPERA,567786.5291,2,Arganzuela,,23.09,,21862.0,,,,,3636.6666666666665,12.15
2010,24.0,LEGAZPI,1414470.497,2,Arganzuela,,13.4,,15951.0,,,,557.0,3536.6666666666665,12.108333333333334
2011,24.0,LEGAZPI,1414470.497,2,Arganzuela,,12.37,,16519.0,,,,554.0,3406.583333333333,12.008333333333333
2012,24.0,LEGAZPI,1414470.497,2,Arganzuela,,10.87,958.0,17076.0,,,,484.0,3085.5,11.591666666666669
2013,24.0,LEGAZPI,1414470.497,2,Arganzuela,,9.99,11747.0,17444.0,45690.8273585721,,,516.0,2777.583333333333,11.175
2014,24.0,LEGAZPI,1414470.497,2,Arganzuela,,8.55,11316.0,17579.0,46590.4624968099,,1787.0,588.0,2684.333333333333,11.058333333333332
2015,24.0,LEGAZPI,1414470.497,2,Arganzuela,,7.26,10430.0,17922.0,48935.036576627,,2186.0,608.0,2709.75,11.575
2016,24.0,LEGAZPI,1414470.497,2,Arganzuela,,7.11,9285.0,18399.0,50472.0,,2572.0,628.0,2835.0,12.3
2017,24.0,LEGAZPI,1414470.497,2,Arganzuela,,6.86,8478.0,18938.0,51613.0,,1980.0,688.0,3186.0,13.666666666666666
2018,24.0,LEGAZPI,1414470.497,2,Arganzuela,,6.85,7922.0,19252.0,52569.0,,251.0,488.0,3844.8333333333335,14.666666666666666
2019,24.0,LEGAZPI,1414470.497,2,Arganzuela,7628.0,7.08,7586.0,19652.0,,2.58,767.0,803.0,4059.1666666666665,15.633333333333333
2020,24.0,LEGAZPI,1414470.497,2,Arganzuela,7686.0,7.2,9422.0,19810.0,,2.58,405.0,844.0,3918.1666666666665,15.591666666666669
2021,24.0,LEGAZPI,1414470.497,2,Arganzuela,7603.0,7.52,9129.0,19572.0,,2.57,300.0,843.0,4002.5,14.366666666666667
2022,24.0,LEGAZPI,1414470.497,2,Arganzuela,,7.7,7108.0,19469.0,,,,,4196.1,15.330000000000002
2005,24.0,LEGAZPI,1414470.497,2,Arganzuela,,11.27,,9305.0,,,,,,
2006,24.0,LEGAZPI,1414470.497,2,Arganzuela,,13.29,,10276.0,,,,,,
2007,24.0,LEGAZPI,1414470.497,2,Arganzuela,,13.53,,11778.0,,,,,4000.0,
2008,24.0,LEGAZPI,1414470.497,2,Arganzuela,,14.38,,13612.0,,,,,3816.5833333333335,
2009,24.0,LEGAZPI,1414470.497,2,Arganzuela,,14.1,,14934.0,,,,,3636.6666666666665,12.15
2010,25.0,DELICIAS,1054679.159,2,Arganzuela,,17.8,,27115.0,,,,845.0,3536.6666666666665,12.108333333333334
2011,25.0,DELICIAS,1054679.159,2,Arganzuela,,17.45,,27429.0,,,,849.0,3406.583333333333,12.008333333333333
2012,25.0,DELICIAS,1054679.159,2,Arganzuela,,15.69,1844.0,27392.0,,,,742.0,3085.5,11.591666666666669
2013,25.0,DELICIAS,1054679.159,2,Arganzuela,,14.21,22200.0,27319.0,37010.0056696631,,,788.0,2777.583333333333,11.175
2014,25.0,DELICIAS,1054679.159,2,Arganzuela,,12.47,20660.0,26872.0,37964.1133351454,,1787.0,897.0,2684.333333333333,11.058333333333332
2015,25.0,DELICIAS,1054679.159,2,Arganzuela,,10.96,18605.0,26598.0,39647.6886525592,,2186.0,956.0,2709.75,11.575
2016,25.0,DELICIAS,1054679.159,2,Arganzuela,,11.05,16923.0,27114.0,40446.0,,2572.0,1014.0,2835.0,12.3
2017,25.0,DELICIAS,1054679.159,2,Arganzuela,,10.67,15407.0,27263.0,41535.0,,1980.0,1118.0,3186.0,13.666666666666666
2018,25.0,DELICIAS,1054679.159,2,Arganzuela,,10.94,14051.0,27473.0,43018.0,,251.0,852.0,3844.8333333333335,14.666666666666666
2019,25.0,DELICIAS,1054679.159,2,Arganzuela,11525.0,11.39,13188.0,27658.0,,2.4,767.0,1321.0,4059.1666666666665,15.633333333333333
2020,25.0,DELICIAS,1054679.159,2,Arganzuela,11720.0,11.98,15728.0,28233.0,,2.41,405.0,1375.0,3918.1666666666665,15.591666666666669
2021,25.0,DELICIAS,1054679.159,2,Arganzuela,11826.0,12.5,15677.0,28374.0,,2.4,300.0,1342.0,4002.5,14.366666666666667
2022,25.0,DELICIAS,1054679.159,2,Arganzuela,,12.25,11127.0,28243.0,,,,,4196.1,15.330000000000002
2005,25.0,DELICIAS,1054679.159,2,Arganzuela,,19.86,,25110.0,,,,,,
2006,25.0,DELICIAS,1054679.159,2,Arganzuela,,20.39,,25550.0,,,,,,
2007,25.0,DELICIAS,1054679.159,2,Arganzuela,,18.51,,25860.0,,,,,4000.0,
2008,25.0,DELICIAS,1054679.159,2,Arganzuela,,18.91,,26695.0,,,,,3816.5833333333335,
2009,25.0,DELICIAS,1054679.159,2,Arganzuela,,18.99,,26989.0,,,,,3636.6666666666665,12.15
2010,26.0,PALOS DE LA FRONTERA,648442.3062,2,Arganzuela,,21.83,,27845.0,,,,1398.0,3536.6666666666665,12.108333333333334
2011,26.0,PALOS DE LA FRONTERA,648442.3062,2,Arganzuela,,20.58,,27430.0,,,,1373.0,3406.583333333333,12.008333333333333
2012,26.0,PALOS DE LA FRONTERA,648442.3062,2,Arganzuela,,18.94,2083.0,27153.0,,,,1208.0,3085.5,11.591666666666669
2013,26.0,PALOS DE LA FRONTERA,648442.3062,2,Arganzuela,,17.76,24672.0,26979.0,32028.6954407268,,,1261.0,2777.583333333333,11.175
2014,26.0,PALOS DE LA FRONTERA,648442.3062,2,Arganzuela,,15.72,22302.0,26182.0,32217.5955418525,,1787.0,1421.0,2684.333333333333,11.058333333333332
2015,26.0,PALOS DE LA FRONTERA,648442.3062,2,Arganzuela,,14.06,20560.0,25528.0,33938.3690529766,,2186.0,1441.0,2709.75,11.575
2016,26.0,PALOS DE LA FRONTERA,648442.3062,2,Arganzuela,,14.24,18779.0,25688.0,34650.0,,2572.0,1417.0,2835.0,12.3
2017,26.0,PALOS DE LA FRONTERA,648442.3062,2,Arganzuela,,13.91,16776.0,25580.0,35874.0,,1980.0,1506.0,3186.0,13.666666666666666
2018,26.0,PALOS DE LA FRONTERA,648442.3062,2,Arganzuela,,14.27,14940.0,25748.0,37389.0,,251.0,1222.0,3844.8333333333335,14.666666666666666
2019,26.0,PALOS DE LA FRONTERA,648442.3062,2,Arganzuela,11768.0,14.89,14154.0,25801.0,,2.19,767.0,1777.0,4059.1666666666665,15.633333333333333
