Anyo,codigo_distrito,codigo_barrio,parados
2016,14,145,14800.0
2016,14,146,11360.0
2016,15,151,37928.0
2016,15,152,49015.0
2016,15,153,19865.0
2016,15,154,14365.0
2016,15,155,11725.0
2016,15,156,6137.0
2016,15,157,3055.0
2016,15,158,594.0
2016,15,159,10476.0
2016,16,161,2474.0
2016,16,162,4882.0
2016,16,163,24440.0
2016,16,164,39507.0
2016,16,165,12453.0
2016,16,166,24231.0
2016,17,171,51699.0
2016,17,172,21459.0
2016,17,173,13840.0
2016,17,174,36706.0
2016,17,175,27304.0
2016,18,181,74624.0
2016,18,182,21062.0
2016,19,191,42217.0
2016,20,201,23989.0
2016,20,202,9927.0
2016,20,203,10172.0
2016,20,204,23088.0
2016,20,205,18655.0
2016,20,206,9514.0
2016,20,207,24470.0
2016,20,208,6352.0
2016,21,211,9229.0
2016,21,212,1632.0
2016,21,213,6355.0
2016,21,214,6279.0
2016,21,215,2796.0
2017,1,11,16066.0
2017,1,12,37181.0
2017,1,13,7485.0
2017,1,14,9621.0
2017,1,15,20434.0
2017,1,16,5122.0
2017,2,21,12770.0
2017,2,22,20289.0
2017,2,23,13453.0
2017,2,24,8478.0
2017,2,25,15407.0
2017,2,26,16776.0
2017,2,27,785.0
2017,3,31,16169.0
2017,3,32,10135.0
2017,3,33,8463.0
2017,3,34,9813.0
2017,3,35,2244.0
2017,3,36,4903.0
2017,4,41,4619.0
2017,4,42,12924.0
2017,4,43,10306.0
2017,4,44,19426.0
2017,4,45,8604.0
2017,4,46,4988.0
2017,5,51,4518.0
2017,5,52,19196.0
2017,5,53,9783.0
2017,5,54,11508.0
2017,5,55,7398.0
2017,5,56,6715.0
2017,6,61,19851.0
2017,6,62,17671.0
2017,6,63,10624.0
2017,6,64,20744.0
2017,6,65,19409.0
2017,6,66,17955.0
2017,7,71,10714.0
2017,7,72,11109.0
2017,7,73,12051.0
2017,7,74,6584.0
2017,7,75,10897.0
2017,7,76,6673.0
2017,8,81,1821.0
2017,8,82,955.0
2017,8,83,24224.0
2017,8,84,26446.0
2017,8,85,13593.0
2017,8,86,33521.0
2017,8,87,10359.0
2017,8,88,4816.0
2017,9,91,7473.0
2017,9,92,10382.0
2017,9,93,5658.0
2017,9,94,17082.0
2017,9,95,1567.0
2017,9,96,617.0
2017,9,97,8078.0
2017,10,101,16194.0
2017,10,102,34930.0
2017,10,103,28270.0
2017,10,104,42089.0
2017,10,105,12205.0
2017,10,106,3772.0
2017,10,107,33812.0
2017,11,111,17154.0
2017,11,112,24516.0
2017,11,113,37945.0
2017,11,114,35839.0
2017,11,115,30747.0
2017,11,116,32115.0
2017,11,117,24859.0
2017,12,121,19922.0
2017,12,122,15016.0
2017,12,123,21383.0
2017,12,124,17483.0
2017,12,125,20175.0
2017,12,126,12024.0
2017,12,127,14180.0
2017,13,131,39090.0
2017,13,132,42694.0
2017,13,133,35091.0
2017,13,134,39639.0
2017,13,135,28562.0
2017,13,136,47464.0
