Anyo,codigo_distrito,codigo_barrio,autonomos
2014,15,153,1195
2014,15,154,975
2014,15,155,713
2014,15,156,683
2014,15,157,409
2014,15,158,146
2014,15,159,886
2014,16,161,305
2014,16,162,810
2014,16,163,1630
2014,16,164,1741
2014,16,165,417
2014,16,166,1124
2014,17,171,1737
2014,17,172,158
2014,17,173,282
2014,17,174,819
2014,17,175,672
2014,18,181,1785
2014,18,182,587
2014,19,191,1082
2014,20,201,1448
2014,20,202,145
2014,20,203,213
2014,20,204,488
2014,20,205,982
2014,20,206,477
2014,20,207,1102
2014,20,208,415
2014,21,211,666
2014,21,212,61
2014,21,213,310
2014,21,214,362
2014,21,215,307
2015,1,11,2050
2015,1,12,3243
2015,1,13,1428
2015,1,14,2448
2015,1,15,2914
2015,1,16,1715
2015,2,21,888
2015,2,22,1429
2015,2,23,821
2015,2,24,608
2015,2,25,956
2015,2,26,1441
2015,2,27,44
2015,3,31,1533
2015,3,32,564
2015,3,33,820
2015,3,34,1446
2015,3,35,531
2015,3,36,811
2015,4,41,2613
2015,4,42,2345
2015,4,43,1020
2015,4,44,2035
2015,4,45,1492
2015,4,46,2020
2015,5,51,1575
2015,5,52,1937
2015,5,53,1225
2015,5,54,2098
2015,5,55,1682
2015,5,56,902
2015,6,61,1230
2015,6,62,2778
2015,6,63,1980
2015,6,64,750
2015,6,65,981
2015,6,66,1026
2015,7,71,1507
2015,7,72,1412
2015,7,73,1966
2015,7,74,2356
2015,7,75,1773
2015,7,76,1039
2015,8,81,77
2015,8,82,131
2015,8,83,1358
2015,8,84,1543
2015,8,85,1089
2015,8,86,1771
2015,8,87,990
2015,8,88,394
2015,9,91,498
2015,9,92,1792
2015,9,93,823
2015,9,94,853
2015,9,95,326
2015,9,96,277
2015,9,97,1380
2015,10,101,464
2015,10,102,1595
2015,10,103,1060
2015,10,104,2289
2015,10,105,517
2015,10,106,99
2015,10,107,1360
2015,11,111,968
2015,11,112,1293
2015,11,113,1324
2015,11,114,1926
2015,11,115,968
2015,11,116,1396
2015,11,117,866
2015,12,121,406
2015,12,122,223
2015,12,123,449
2015,12,124,722
2015,12,125,963
